"","Type","Cap_shape","odor","stalk_root","veil_type","population"
"3645","poisonous","convex","foul","bulbous","partial","solitary"
"3648","poisonous","convex","foul","bulbous","partial","solitary"
"3650","poisonous","convex","foul","bulbous","partial","solitary"
"3653","poisonous","convex","foul","bulbous","partial","solitary"
"3659","poisonous","flat","foul","bulbous","partial","solitary"
"3662","poisonous","convex","foul","bulbous","partial","solitary"
"3702","poisonous","convex","foul","bulbous","partial","solitary"
"3714","poisonous","flat","foul","bulbous","partial","solitary"
"3735","poisonous","convex","foul","bulbous","partial","solitary"
"3756","poisonous","convex","foul","bulbous","partial","solitary"
"3759","poisonous","flat","foul","bulbous","partial","solitary"
"3776","poisonous","convex","foul","bulbous","partial","solitary"
"3809","poisonous","flat","foul","bulbous","partial","solitary"
"3811","poisonous","convex","foul","bulbous","partial","solitary"
"3816","poisonous","convex","foul","bulbous","partial","solitary"
"3823","poisonous","convex","foul","bulbous","partial","solitary"
"3830","poisonous","convex","foul","bulbous","partial","solitary"
"3836","poisonous","convex","foul","bulbous","partial","solitary"
"3855","poisonous","convex","foul","bulbous","partial","solitary"
"3891","poisonous","flat","foul","bulbous","partial","solitary"
"3895","poisonous","convex","foul","bulbous","partial","solitary"
"3896","poisonous","flat","foul","bulbous","partial","solitary"
"3901","poisonous","convex","foul","bulbous","partial","solitary"
"3903","poisonous","flat","foul","bulbous","partial","solitary"
"3906","poisonous","convex","foul","bulbous","partial","solitary"
"3910","poisonous","flat","foul","bulbous","partial","solitary"
"3912","poisonous","convex","foul","bulbous","partial","solitary"
"3913","poisonous","flat","foul","bulbous","partial","solitary"
"3914","poisonous","flat","foul","bulbous","partial","solitary"
"3926","poisonous","convex","foul","bulbous","partial","solitary"
"3927","poisonous","convex","foul","bulbous","partial","solitary"
"3928","poisonous","flat","foul","bulbous","partial","solitary"
"3930","poisonous","convex","foul","bulbous","partial","solitary"
"3931","poisonous","flat","foul","bulbous","partial","solitary"
"3934","poisonous","convex","foul","bulbous","partial","solitary"
"3948","poisonous","flat","foul","bulbous","partial","solitary"
"3951","poisonous","flat","foul","bulbous","partial","solitary"
"3953","poisonous","flat","foul","bulbous","partial","solitary"
"3957","poisonous","convex","foul","bulbous","partial","solitary"
"3961","poisonous","convex","foul","bulbous","partial","solitary"
"3963","poisonous","flat","foul","bulbous","partial","solitary"
"3964","poisonous","convex","foul","bulbous","partial","solitary"
"3966","poisonous","convex","foul","bulbous","partial","solitary"
"3967","poisonous","flat","foul","bulbous","partial","solitary"
"3968","poisonous","flat","foul","bulbous","partial","solitary"
"3969","poisonous","convex","foul","bulbous","partial","solitary"
"3972","poisonous","convex","foul","bulbous","partial","solitary"
"3975","poisonous","convex","foul","bulbous","partial","solitary"
"3986","poisonous","flat","foul","bulbous","partial","solitary"
"3987","poisonous","convex","foul","bulbous","partial","solitary"
"3988","poisonous","convex","foul","bulbous","partial","solitary"
"3989","poisonous","flat","foul","bulbous","partial","solitary"
"3993","poisonous","flat","foul","bulbous","partial","solitary"
"4002","poisonous","flat","foul","bulbous","partial","solitary"
"4005","poisonous","convex","foul","bulbous","partial","solitary"
"4006","poisonous","convex","foul","bulbous","partial","solitary"
"4012","poisonous","flat","foul","bulbous","partial","solitary"
"4022","poisonous","flat","foul","bulbous","partial","solitary"
"4023","poisonous","convex","foul","bulbous","partial","solitary"
"4025","poisonous","convex","foul","bulbous","partial","solitary"
"4031","poisonous","convex","foul","bulbous","partial","solitary"
"4035","poisonous","convex","foul","bulbous","partial","solitary"
"4039","poisonous","convex","foul","bulbous","partial","solitary"
"4041","poisonous","convex","foul","bulbous","partial","solitary"
"4044","poisonous","flat","foul","bulbous","partial","solitary"
"4047","poisonous","convex","foul","bulbous","partial","solitary"
"4051","poisonous","convex","foul","bulbous","partial","solitary"
"4053","poisonous","flat","foul","bulbous","partial","solitary"
"4064","poisonous","flat","foul","bulbous","partial","solitary"
"4065","poisonous","convex","foul","bulbous","partial","solitary"
"4067","poisonous","flat","foul","bulbous","partial","solitary"
"4068","poisonous","flat","foul","bulbous","partial","solitary"
"4073","poisonous","flat","foul","bulbous","partial","solitary"
"4076","poisonous","convex","foul","bulbous","partial","solitary"
"4081","poisonous","convex","foul","bulbous","partial","solitary"
"4082","poisonous","convex","foul","bulbous","partial","solitary"
"4084","poisonous","convex","foul","bulbous","partial","solitary"
"4087","poisonous","convex","foul","bulbous","partial","solitary"
"4089","poisonous","flat","foul","bulbous","partial","solitary"
"4100","poisonous","convex","foul","bulbous","partial","solitary"
"4103","poisonous","flat","foul","bulbous","partial","solitary"
"4111","poisonous","flat","foul","bulbous","partial","solitary"
"4112","poisonous","flat","foul","bulbous","partial","solitary"
"4115","poisonous","convex","foul","bulbous","partial","solitary"
"4118","poisonous","convex","foul","bulbous","partial","solitary"
"4129","poisonous","flat","foul","bulbous","partial","solitary"
"4136","poisonous","flat","foul","bulbous","partial","solitary"
"4137","poisonous","convex","foul","bulbous","partial","solitary"
"4140","poisonous","convex","foul","bulbous","partial","solitary"
"4141","poisonous","flat","foul","bulbous","partial","solitary"
"4145","poisonous","convex","foul","bulbous","partial","solitary"
"4154","poisonous","convex","foul","bulbous","partial","solitary"
"4159","poisonous","flat","foul","bulbous","partial","solitary"
"4161","poisonous","convex","foul","bulbous","partial","solitary"
"4168","poisonous","flat","foul","bulbous","partial","solitary"
"4170","poisonous","flat","foul","bulbous","partial","solitary"
"4174","poisonous","flat","foul","bulbous","partial","solitary"
"4176","poisonous","flat","foul","bulbous","partial","solitary"
"4178","poisonous","convex","foul","bulbous","partial","solitary"
"4179","poisonous","convex","foul","bulbous","partial","solitary"
"4182","poisonous","flat","foul","bulbous","partial","solitary"
"4183","poisonous","convex","foul","bulbous","partial","solitary"
"4186","poisonous","convex","foul","bulbous","partial","solitary"
"4193","poisonous","flat","foul","bulbous","partial","solitary"
"4194","poisonous","flat","foul","bulbous","partial","solitary"
"4202","poisonous","flat","foul","bulbous","partial","solitary"
"4205","poisonous","flat","foul","bulbous","partial","solitary"
"4206","poisonous","convex","foul","bulbous","partial","solitary"
"4207","poisonous","flat","foul","bulbous","partial","solitary"
"4208","poisonous","flat","foul","bulbous","partial","solitary"
"4209","poisonous","flat","foul","bulbous","partial","solitary"
"4210","poisonous","convex","foul","bulbous","partial","solitary"
"4211","poisonous","flat","foul","bulbous","partial","solitary"
"4212","poisonous","convex","foul","bulbous","partial","solitary"
"4215","poisonous","convex","foul","bulbous","partial","solitary"
"4218","poisonous","convex","foul","bulbous","partial","solitary"
"4219","poisonous","flat","foul","bulbous","partial","solitary"
"4220","poisonous","flat","foul","bulbous","partial","solitary"
"4221","poisonous","flat","foul","bulbous","partial","solitary"
"4224","poisonous","convex","foul","bulbous","partial","solitary"
"4227","poisonous","flat","foul","bulbous","partial","solitary"
"4231","poisonous","convex","foul","bulbous","partial","solitary"
"4232","poisonous","convex","foul","bulbous","partial","solitary"
"4236","poisonous","flat","foul","bulbous","partial","solitary"
"4237","poisonous","flat","foul","bulbous","partial","solitary"
"4240","poisonous","convex","foul","bulbous","partial","solitary"
"4241","poisonous","convex","foul","bulbous","partial","solitary"
"4243","poisonous","convex","foul","bulbous","partial","solitary"
"4247","poisonous","flat","foul","bulbous","partial","solitary"
"4251","poisonous","convex","foul","bulbous","partial","solitary"
"4252","poisonous","convex","foul","bulbous","partial","solitary"
"4255","poisonous","flat","foul","bulbous","partial","solitary"
"4256","poisonous","convex","foul","bulbous","partial","solitary"
"4259","poisonous","flat","foul","bulbous","partial","solitary"
"4261","poisonous","flat","foul","bulbous","partial","solitary"
"4262","poisonous","convex","foul","bulbous","partial","solitary"
"4264","poisonous","convex","foul","bulbous","partial","solitary"
"4265","poisonous","convex","foul","bulbous","partial","solitary"
"4266","poisonous","flat","foul","bulbous","partial","solitary"
"4270","poisonous","convex","foul","bulbous","partial","solitary"
"4272","poisonous","convex","foul","bulbous","partial","solitary"
"4274","poisonous","flat","foul","bulbous","partial","solitary"
"4276","poisonous","convex","foul","bulbous","partial","solitary"
"4278","poisonous","flat","foul","bulbous","partial","solitary"
"4279","poisonous","convex","foul","bulbous","partial","solitary"
"4280","poisonous","flat","foul","bulbous","partial","solitary"
"4282","poisonous","convex","foul","bulbous","partial","solitary"
"4286","poisonous","convex","foul","bulbous","partial","solitary"
"4287","poisonous","convex","foul","bulbous","partial","solitary"
"4288","poisonous","flat","foul","bulbous","partial","solitary"
"4290","poisonous","flat","foul","bulbous","partial","solitary"
"4295","poisonous","flat","foul","bulbous","partial","solitary"
"4297","poisonous","convex","foul","bulbous","partial","solitary"
"4298","poisonous","flat","foul","bulbous","partial","solitary"
"4299","poisonous","convex","foul","bulbous","partial","solitary"
"4300","poisonous","flat","foul","bulbous","partial","solitary"
"4301","poisonous","flat","foul","bulbous","partial","solitary"
"4304","poisonous","flat","foul","bulbous","partial","solitary"
"4305","poisonous","flat","foul","bulbous","partial","solitary"
"4307","poisonous","flat","foul","bulbous","partial","solitary"
"4311","poisonous","convex","foul","bulbous","partial","solitary"
"4312","poisonous","convex","foul","bulbous","partial","solitary"
"4313","poisonous","flat","foul","bulbous","partial","solitary"
"4315","poisonous","convex","foul","bulbous","partial","solitary"
"4319","poisonous","flat","foul","bulbous","partial","solitary"
"4320","poisonous","flat","foul","bulbous","partial","solitary"
"4322","poisonous","flat","foul","bulbous","partial","solitary"
"4323","poisonous","convex","foul","bulbous","partial","solitary"
"4324","poisonous","flat","foul","bulbous","partial","solitary"
"4325","poisonous","flat","foul","bulbous","partial","solitary"
"4328","poisonous","flat","foul","bulbous","partial","solitary"
"4329","poisonous","convex","foul","bulbous","partial","solitary"
"4333","poisonous","flat","foul","bulbous","partial","solitary"
"4335","poisonous","convex","foul","bulbous","partial","solitary"
"4336","poisonous","flat","foul","bulbous","partial","solitary"
"4340","poisonous","convex","foul","bulbous","partial","solitary"
"4341","poisonous","convex","foul","bulbous","partial","solitary"
"4343","poisonous","flat","foul","bulbous","partial","solitary"
"4347","poisonous","flat","foul","bulbous","partial","solitary"
"4349","poisonous","convex","foul","bulbous","partial","solitary"
"4354","poisonous","flat","foul","bulbous","partial","solitary"
"4356","poisonous","flat","foul","bulbous","partial","solitary"
"4360","poisonous","flat","foul","bulbous","partial","solitary"
"4361","poisonous","flat","foul","bulbous","partial","solitary"
"4362","poisonous","convex","foul","bulbous","partial","solitary"
"4364","poisonous","convex","foul","bulbous","partial","solitary"
"4367","poisonous","convex","foul","bulbous","partial","solitary"
"4368","poisonous","flat","foul","bulbous","partial","solitary"
"4371","poisonous","flat","foul","bulbous","partial","solitary"
"4374","poisonous","flat","foul","bulbous","partial","solitary"
"4378","poisonous","flat","foul","bulbous","partial","solitary"
"4379","poisonous","flat","foul","bulbous","partial","solitary"
"4382","poisonous","convex","foul","bulbous","partial","solitary"
"4383","poisonous","convex","foul","bulbous","partial","solitary"
"4385","poisonous","convex","foul","bulbous","partial","solitary"
"4386","poisonous","flat","foul","bulbous","partial","solitary"
"4387","poisonous","flat","foul","bulbous","partial","solitary"
"4388","poisonous","convex","foul","bulbous","partial","solitary"
"4391","poisonous","convex","foul","bulbous","partial","solitary"
"4392","poisonous","flat","foul","bulbous","partial","solitary"
"4393","poisonous","flat","foul","bulbous","partial","solitary"
"4394","poisonous","convex","foul","bulbous","partial","solitary"
"4396","poisonous","flat","foul","bulbous","partial","solitary"
"4400","poisonous","flat","foul","bulbous","partial","solitary"
"4404","poisonous","flat","foul","bulbous","partial","solitary"
"4406","poisonous","flat","foul","bulbous","partial","solitary"
"4409","poisonous","flat","foul","bulbous","partial","solitary"
"4410","poisonous","flat","foul","bulbous","partial","solitary"
"4415","poisonous","convex","foul","bulbous","partial","solitary"
"4416","poisonous","flat","foul","bulbous","partial","solitary"
"4419","poisonous","flat","foul","bulbous","partial","solitary"
"4421","poisonous","convex","foul","bulbous","partial","solitary"
"4422","poisonous","convex","foul","bulbous","partial","solitary"
"4423","poisonous","convex","foul","bulbous","partial","solitary"
"4440","poisonous","convex","foul","bulbous","partial","solitary"
"4443","poisonous","convex","foul","bulbous","partial","solitary"
"4444","poisonous","convex","foul","bulbous","partial","solitary"
"4446","poisonous","flat","foul","bulbous","partial","solitary"
"4448","poisonous","flat","foul","bulbous","partial","solitary"
"4449","poisonous","convex","foul","bulbous","partial","solitary"
"4450","poisonous","convex","foul","bulbous","partial","solitary"
"4451","poisonous","convex","foul","bulbous","partial","solitary"
"4453","poisonous","convex","foul","bulbous","partial","solitary"
"4456","poisonous","convex","foul","bulbous","partial","solitary"
"4457","poisonous","flat","foul","bulbous","partial","solitary"
"4458","poisonous","flat","foul","bulbous","partial","solitary"
"4459","poisonous","convex","foul","bulbous","partial","solitary"
"4461","poisonous","convex","foul","bulbous","partial","solitary"
"4463","poisonous","flat","foul","bulbous","partial","solitary"
"4464","poisonous","convex","foul","bulbous","partial","solitary"
"4467","poisonous","flat","foul","bulbous","partial","solitary"
"4468","poisonous","flat","foul","bulbous","partial","solitary"
"4469","poisonous","convex","foul","bulbous","partial","solitary"
"4472","poisonous","flat","foul","bulbous","partial","solitary"
"4473","poisonous","convex","foul","bulbous","partial","solitary"
"4476","poisonous","convex","foul","bulbous","partial","solitary"
"4478","poisonous","flat","foul","bulbous","partial","solitary"
"4479","poisonous","flat","foul","bulbous","partial","solitary"
"4486","poisonous","convex","foul","bulbous","partial","solitary"
"4490","poisonous","convex","foul","bulbous","partial","solitary"
"4491","poisonous","flat","foul","bulbous","partial","solitary"
"4494","poisonous","convex","foul","bulbous","partial","solitary"
"4496","poisonous","flat","foul","bulbous","partial","solitary"
"4501","poisonous","convex","foul","bulbous","partial","solitary"
"4503","poisonous","flat","foul","bulbous","partial","solitary"
"4506","poisonous","convex","foul","bulbous","partial","solitary"
"4507","poisonous","flat","foul","bulbous","partial","solitary"
"4508","poisonous","flat","foul","bulbous","partial","solitary"
"4509","poisonous","flat","foul","bulbous","partial","solitary"
"4512","poisonous","flat","foul","bulbous","partial","solitary"
"4513","poisonous","flat","foul","bulbous","partial","solitary"
"4514","poisonous","flat","foul","bulbous","partial","solitary"
"4524","poisonous","convex","foul","bulbous","partial","solitary"
"4526","poisonous","flat","foul","bulbous","partial","solitary"
"4527","poisonous","flat","foul","bulbous","partial","solitary"
"4530","poisonous","flat","foul","bulbous","partial","solitary"
"4532","poisonous","flat","foul","bulbous","partial","solitary"
"4533","poisonous","convex","foul","bulbous","partial","solitary"
"4536","poisonous","flat","foul","bulbous","partial","solitary"
"4537","poisonous","convex","foul","bulbous","partial","solitary"
"4539","poisonous","flat","foul","bulbous","partial","solitary"
"4541","poisonous","flat","foul","bulbous","partial","solitary"
"4543","poisonous","convex","foul","bulbous","partial","solitary"
"4547","poisonous","flat","foul","bulbous","partial","solitary"
"4551","poisonous","convex","foul","bulbous","partial","solitary"
"4556","poisonous","convex","foul","bulbous","partial","solitary"
"4559","poisonous","convex","foul","bulbous","partial","solitary"
"4563","poisonous","convex","foul","bulbous","partial","solitary"
"4565","poisonous","convex","foul","bulbous","partial","solitary"
"4567","poisonous","convex","foul","bulbous","partial","solitary"
"4568","poisonous","flat","foul","bulbous","partial","solitary"
"4570","poisonous","convex","foul","bulbous","partial","solitary"
"4572","poisonous","convex","foul","bulbous","partial","solitary"
"4574","poisonous","convex","foul","bulbous","partial","solitary"
"4576","poisonous","flat","foul","bulbous","partial","solitary"
"4577","poisonous","flat","foul","bulbous","partial","solitary"
"4579","poisonous","flat","foul","bulbous","partial","solitary"
"4581","poisonous","convex","foul","bulbous","partial","solitary"
"4583","poisonous","convex","foul","bulbous","partial","solitary"
"4585","poisonous","flat","foul","bulbous","partial","solitary"
"4591","poisonous","flat","foul","bulbous","partial","solitary"
"4594","poisonous","flat","foul","bulbous","partial","solitary"
"4597","poisonous","convex","foul","bulbous","partial","solitary"
"4598","poisonous","flat","foul","bulbous","partial","solitary"
"4600","poisonous","flat","foul","bulbous","partial","solitary"
"4601","poisonous","flat","foul","bulbous","partial","solitary"
"4604","poisonous","flat","foul","bulbous","partial","solitary"
"4606","poisonous","convex","foul","bulbous","partial","solitary"
"4608","poisonous","flat","foul","bulbous","partial","solitary"
"4614","poisonous","convex","foul","bulbous","partial","solitary"
"4615","poisonous","flat","foul","bulbous","partial","solitary"
"4616","poisonous","convex","foul","bulbous","partial","solitary"
"4618","poisonous","flat","foul","bulbous","partial","solitary"
"4621","poisonous","flat","foul","bulbous","partial","solitary"
"4622","poisonous","flat","foul","bulbous","partial","solitary"
"4624","poisonous","flat","foul","bulbous","partial","solitary"
"4625","poisonous","flat","foul","bulbous","partial","solitary"
"4633","poisonous","convex","foul","bulbous","partial","solitary"
"4636","poisonous","convex","foul","bulbous","partial","solitary"
"4638","poisonous","flat","foul","bulbous","partial","solitary"
"4640","poisonous","convex","foul","bulbous","partial","solitary"
"4645","poisonous","flat","foul","bulbous","partial","solitary"
"4649","poisonous","flat","foul","bulbous","partial","solitary"
"4651","poisonous","convex","foul","bulbous","partial","solitary"
"4652","poisonous","flat","foul","bulbous","partial","solitary"
"4655","poisonous","flat","foul","bulbous","partial","solitary"
"4656","poisonous","convex","foul","bulbous","partial","solitary"
"4657","poisonous","flat","foul","bulbous","partial","solitary"
"4666","poisonous","convex","foul","bulbous","partial","solitary"
"4667","poisonous","convex","foul","bulbous","partial","solitary"
"4668","poisonous","flat","foul","bulbous","partial","solitary"
"4669","poisonous","convex","foul","bulbous","partial","solitary"
"4670","poisonous","flat","foul","bulbous","partial","solitary"
"4671","poisonous","flat","foul","bulbous","partial","solitary"
"4672","poisonous","convex","foul","bulbous","partial","solitary"
"4673","poisonous","flat","foul","bulbous","partial","solitary"
"4675","poisonous","flat","foul","bulbous","partial","solitary"
"4676","poisonous","convex","foul","bulbous","partial","solitary"
"4677","poisonous","convex","foul","bulbous","partial","solitary"
"4679","poisonous","convex","foul","bulbous","partial","solitary"
"4680","poisonous","flat","foul","bulbous","partial","solitary"
"4681","poisonous","flat","foul","bulbous","partial","solitary"
"4682","poisonous","convex","foul","bulbous","partial","solitary"
"4683","poisonous","convex","foul","bulbous","partial","solitary"
"4684","poisonous","flat","foul","bulbous","partial","solitary"
"4685","poisonous","flat","foul","bulbous","partial","solitary"
"4686","poisonous","convex","foul","bulbous","partial","solitary"
"4689","poisonous","convex","foul","bulbous","partial","solitary"
"4691","poisonous","convex","foul","bulbous","partial","solitary"
"4693","poisonous","convex","foul","bulbous","partial","solitary"
"4694","poisonous","convex","foul","bulbous","partial","solitary"
"4698","poisonous","flat","foul","bulbous","partial","solitary"
"4699","poisonous","convex","foul","bulbous","partial","solitary"
"4704","poisonous","convex","foul","bulbous","partial","solitary"
"4706","poisonous","convex","foul","bulbous","partial","solitary"
"4707","poisonous","convex","foul","bulbous","partial","solitary"
"4708","poisonous","flat","foul","bulbous","partial","solitary"
"4712","poisonous","convex","foul","bulbous","partial","solitary"
"4714","poisonous","flat","foul","bulbous","partial","solitary"
"4716","poisonous","convex","foul","bulbous","partial","solitary"
"4719","poisonous","convex","foul","bulbous","partial","solitary"
"4721","poisonous","flat","foul","bulbous","partial","solitary"
"4724","poisonous","convex","foul","bulbous","partial","solitary"
"4725","poisonous","convex","foul","bulbous","partial","solitary"
"4726","poisonous","flat","foul","bulbous","partial","solitary"
"4728","poisonous","convex","foul","bulbous","partial","solitary"
"4729","poisonous","convex","foul","bulbous","partial","solitary"
"4730","poisonous","flat","foul","bulbous","partial","solitary"
"4732","poisonous","flat","foul","bulbous","partial","solitary"
"4736","poisonous","convex","foul","bulbous","partial","solitary"
"4737","poisonous","convex","foul","bulbous","partial","solitary"
"4738","poisonous","flat","foul","bulbous","partial","solitary"
"4739","poisonous","convex","foul","bulbous","partial","solitary"
"4742","poisonous","flat","foul","bulbous","partial","solitary"
"4743","poisonous","flat","foul","bulbous","partial","solitary"
"4745","poisonous","convex","foul","bulbous","partial","solitary"
"4747","poisonous","convex","foul","bulbous","partial","solitary"
"4748","poisonous","flat","foul","bulbous","partial","solitary"
"4753","poisonous","convex","foul","bulbous","partial","solitary"
"4756","poisonous","convex","foul","bulbous","partial","solitary"
"4760","poisonous","convex","foul","bulbous","partial","solitary"
"4761","poisonous","flat","foul","bulbous","partial","solitary"
"4763","poisonous","convex","foul","bulbous","partial","solitary"
"4765","poisonous","convex","foul","bulbous","partial","solitary"
"4767","poisonous","convex","foul","bulbous","partial","solitary"
"4768","poisonous","flat","foul","bulbous","partial","solitary"
"4772","poisonous","convex","foul","bulbous","partial","solitary"
"4776","poisonous","flat","foul","bulbous","partial","solitary"
"4781","poisonous","convex","foul","bulbous","partial","solitary"
"4782","poisonous","flat","foul","bulbous","partial","solitary"
"4783","poisonous","convex","foul","bulbous","partial","solitary"
"4786","poisonous","convex","foul","bulbous","partial","solitary"
"4788","poisonous","flat","foul","bulbous","partial","solitary"
"4790","poisonous","convex","foul","bulbous","partial","solitary"
"4793","poisonous","flat","foul","bulbous","partial","solitary"
"4794","poisonous","flat","foul","bulbous","partial","solitary"
"4797","poisonous","convex","foul","bulbous","partial","solitary"
"4798","poisonous","flat","foul","bulbous","partial","solitary"
"4799","poisonous","convex","foul","bulbous","partial","solitary"
"4804","poisonous","flat","foul","bulbous","partial","solitary"
"4810","poisonous","flat","foul","bulbous","partial","solitary"
"4811","poisonous","convex","foul","bulbous","partial","solitary"
"4812","poisonous","flat","foul","bulbous","partial","solitary"
"4820","poisonous","flat","foul","bulbous","partial","solitary"
"4823","poisonous","convex","foul","bulbous","partial","solitary"
"4824","poisonous","convex","foul","bulbous","partial","solitary"
"4837","poisonous","convex","foul","bulbous","partial","solitary"
"4839","poisonous","convex","foul","bulbous","partial","solitary"
"4848","poisonous","convex","foul","bulbous","partial","solitary"
"4853","poisonous","convex","foul","bulbous","partial","solitary"
"4855","poisonous","convex","foul","bulbous","partial","solitary"
"4856","poisonous","convex","foul","bulbous","partial","solitary"
"4857","poisonous","convex","foul","bulbous","partial","solitary"
"4864","poisonous","flat","foul","bulbous","partial","solitary"
"4865","poisonous","flat","foul","bulbous","partial","solitary"
"4868","poisonous","convex","foul","bulbous","partial","solitary"
"4874","poisonous","flat","foul","bulbous","partial","solitary"
"4876","poisonous","flat","foul","bulbous","partial","solitary"
"4879","poisonous","flat","foul","bulbous","partial","solitary"
"4881","poisonous","flat","foul","bulbous","partial","solitary"
"4884","poisonous","flat","foul","bulbous","partial","solitary"
"4886","poisonous","flat","foul","bulbous","partial","solitary"
"4888","poisonous","flat","foul","bulbous","partial","solitary"
"4891","poisonous","flat","foul","bulbous","partial","solitary"
"4896","poisonous","convex","foul","bulbous","partial","solitary"
"4897","poisonous","flat","foul","bulbous","partial","solitary"
"4898","poisonous","flat","foul","bulbous","partial","solitary"
"4902","poisonous","flat","foul","bulbous","partial","solitary"
"4903","poisonous","flat","foul","bulbous","partial","solitary"
"4906","poisonous","convex","foul","bulbous","partial","solitary"
"4908","poisonous","flat","foul","bulbous","partial","solitary"
"4909","poisonous","convex","foul","bulbous","partial","solitary"
"4911","poisonous","flat","foul","bulbous","partial","solitary"
"4913","poisonous","flat","foul","bulbous","partial","solitary"
"4914","poisonous","convex","foul","bulbous","partial","solitary"
"4917","poisonous","convex","foul","bulbous","partial","solitary"
"4918","poisonous","convex","foul","bulbous","partial","solitary"
"4920","poisonous","flat","foul","bulbous","partial","solitary"
"4923","poisonous","flat","foul","bulbous","partial","solitary"
"4925","poisonous","convex","foul","bulbous","partial","solitary"
"4926","poisonous","convex","foul","bulbous","partial","solitary"
"4930","poisonous","convex","foul","bulbous","partial","solitary"
"4936","poisonous","convex","foul","bulbous","partial","solitary"
"4941","poisonous","flat","foul","bulbous","partial","solitary"
